id,speaker,cosine
753,派蒙,0.890437
754,派蒙,0.8830152
755,旅行者,0.9999999
756,芭芭拉,0.96282303
757,旅行者,0.95367944
758,旅行者,0.96006465
759,派蒙,1.0
760,派蒙,0.99999976
761,派蒙,0.99999994
762,派蒙,0.99999994
763,派蒙,1.0000002
764,派蒙,0.9999999
765,派蒙,0.9999999
766,派蒙,0.9999999
767,派蒙,1.0000002
768,派蒙,1.0
769,琳琅,0.9740797
770,观海,0.4347048
771,博来,0.8035011
772,派蒙,0.8180058
773,派蒙,0.82688963
774,派蒙,0.9279711
775,凝光,1.0
776,凝光,1.0
799,玉京台 潜入AI1,0.73613036
800,玉京台 潜入AI2,0.83928066
801,玉京台 潜入AI3,1.0000002
802,玉京台 潜入AI4,1.0
803,民众,0.9539255
804,民众,0.9525375
805,民众,0.9596944
806,民众,0.8728601
807,派蒙,0.7749226
808,玉京台 潜入AI1,0.9999999
809,「公子」,0.58027065
811,「公子」,0.9999996
812,玉京台 潜入AI1,1.0
813,玉京台 潜入AI1,0.99999994
814,玉京台 潜入AI1,1.0000002
847,派蒙,0.94413865
848,派蒙,0.9658512
849,派蒙,0.9999998
850,派蒙,0.6838298
851,派蒙,0.35448167
852,派蒙,0.8470858
853,派蒙,0.95584774
854,魈,0.4740194
864,派蒙,0.8844292
865,派蒙,0.9784994
866,派蒙,0.9353649
867,派蒙,0.8979169
868,派蒙,0.9416171
869,派蒙,0.786574
870,派蒙,0.9486772
871,派蒙,0.8720461
872,鸿如,0.33766237
873,鸿如,0.4077688
882,派蒙,0.9467224
883,派蒙,0.8116092
884,钟离,0.46540678
885,钟离,0.92938316
886,钟离,0.99331594
887,派蒙,0.839195
888,派蒙,0.92080224
889,派蒙,0.92039543
890,派蒙,1.0
891,派蒙,0.98325145
892,派蒙,0.7792739
893,派蒙,0.8207183
894,派蒙,0.9255767
895,派蒙,0.9737422
896,派蒙,0.8742752
897,派蒙,0.96197915
898,派蒙,0.9759221
899,旅行者,0.9975674
900,派蒙,0.97938854
901,派蒙,0.96325547
902,步云,0.9999999
903,派蒙,0.9828362
904,派蒙,0.9999999
909,「公子」,0.96773326
911,「公子」,0.5990793
922,「公子」,0.8484938
923,派蒙,1.0
926,「公子」,0.9946074
927,「公子」,1.0
928,「公子」,0.99999976
932,「公子」,0.99064535
934,「公子」,0.89512384
935,「公子」,0.99999964
948,「公子」,0.99999994
949,「公子」,0.9999999
954,派蒙,0.99999994
960,旅行者,1.0000002
961,旅行者,0.9935521
962,旅行者,1.0
963,旅行者,1.0
964,「公子」,0.8065624
965,「公子」,0.9441124
972,派蒙,0.9970812
975,派蒙,1.0
985,派蒙,0.9568826
1010,削月筑阳真君,1.0000001
1012,削月筑阳真君,0.92756265
1015,派蒙,1.0000001
1042,魈,0.7609941
1045,留云借风真君,0.9999999
1048,甘雨,1.0000001
1049,甘雨,0.99999994
1050,甘雨,0.954702
1051,凝光,1.0
1053,甘雨,1.0000002
1054,凝光,0.9999999
1055,留云借风真君,1.0000001
1056,魈,0.99999976
1057,凝光,0.99999976
1058,凝光,1.0
1059,凝光,0.59421605
1060,凝光,0.6901349
1061,凝光,0.16306785
1072,荒泷一斗,0.94697744
1074,荒泷一斗,0.67139846
1075,久岐忍,0.9057363
1076,荒泷一斗,0.9546564
1077,阿丑,1.0
1078,荒泷一斗,0.96139205
1080,久岐忍,0.62842566
1081,久岐忍,0.76070404
1082,荒泷一斗,0.8600926
1083,荒泷一斗,0.6907184
1084,荒泷一斗,0.9960618
1085,烟绯,0.50284487
1086,烟绯,0.8046865
1087,烟绯,0.8865305
1088,烟绯,0.790524
1089,烟绯,0.96341836
1090,夜兰,0.34988022
1091,夜兰,0.41818514
1092,夜兰,0.77722776
1093,旅行者,0.9599148
1094,旅行者,0.9466763
1095,旅行者,0.97162175
1096,旅行者,0.97859544
1097,旅行者,0.7615871
1102,夜兰,0.9279988
1103,烟绯,0.90638626
1104,烟绯,0.64453924
1106,烟绯,0.9128945
1107,夜兰,0.9210136
1108,荒泷一斗,0.9887172
1109,阿丑,1.0
1110,荒泷一斗,0.8131883
1111,荒泷一斗,0.6789007
1112,阿丑,1.0
1113,荒泷一斗,0.87260944
1114,荒泷一斗,0.4648751
1115,久岐忍,0.6878945
1116,久岐忍,0.5104574
1118,久岐忍,0.30971125
1120,旅行者,0.7059819
1121,北斗,0.7806936
1122,北斗,0.8582568
1123,枫原万叶,0.70712185
1124,北斗,0.67345613
1125,北斗,0.83896965
1126,枫原万叶,0.88001287
1127,枫原万叶,0.81415904
1128,北斗,0.9584068
1129,北斗,0.55428195
1130,北斗,0.7314435
1131,旅行者,0.94371015
1132,旅行者,0.76616085
1133,北斗,0.9603604
1134,北斗,0.8593968
1135,北斗,0.9244424
1136,派蒙,0.8860253
1137,枫原万叶,0.8966783
1138,枫原万叶,0.8058572
1139,派蒙,0.8926538
1140,北斗,0.93119204
1141,北斗,0.89070106
1142,枫原万叶,0.9718585
1143,枫原万叶,0.92948884
1144,枫原万叶,0.49549997
1145,旅行者,0.7973593
1146,旅行者,0.3973348
1147,枫原万叶,0.8871122
1148,北斗,0.63707626
1149,北斗,-0.017837051
1150,手岛,0.9881046
1151,手岛,-0.03159712
