id,speaker,x,y
580,旅行者,6.194554,7.4500027
586,派蒙,14.946945,4.5312023
587,派蒙,4.721043,2.3037872
588,葛瑞丝,2.1795897,7.6103616
589,宁禄,4.6087527,6.0625415
590,塞琉斯,14.774397,6.3316426
596,利文斯通博士,5.860545,3.059074
597,安柏,6.188525,3.3125527
598,奥特,6.9488072,9.445682
599,派蒙,3.946715,7.1324177
600,派蒙,5.414249,4.691007
601,派蒙,1.4899459,0.6358097
602,雷泽,0.6551437,2.3506577
604,派蒙,4.614649,2.6045623
615,派蒙,4.433191,4.436278
616,派蒙,6.2812424,7.124954
617,旅行者,5.930366,9.220996
618,旅行者,9.948153,8.566267
619,派蒙,4.21018,1.323094
620,派蒙,4.2350326,2.1511726
621,雷泽,0.95537376,7.7215858
631,派蒙,6.2219872,4.2016287
632,派蒙,2.6532257,5.55586
633,派蒙,2.280112,4.7926893
634,派蒙,5.7732105,2.4114716
635,塞琉斯,6.093114,2.6129327
636,塞琉斯,4.9882054,1.8282281
637,斯坦利,9.932367,6.721386
638,杰克,10.826221,6.6022143
639,派蒙,5.2359333,5.4199805
640,派蒙,7.5452623,8.455131
641,派蒙,5.389566,1.9851619
642,派蒙,0.7995515,5.873213
643,派蒙,3.3045177,5.053571
644,派蒙,4.6810503,3.7373962
645,派蒙,4.6087055,4.959659
646,凯亚,4.716,4.0900865
647,伊扎德,8.058544,2.9364274
648,凯亚,6.182643,8.320857
649,伊扎德,-1.038026,-1.3433673
650,凯亚,3.6701746,1.297015
652,凯亚,6.1500936,6.6234345
653,派蒙,3.2276683,0.06943307
654,派蒙,0.8312712,5.7586308
655,派蒙,4.1400576,6.656898
656,派蒙,4.7544985,3.5742972
657,派蒙,2.3610868,8.197061
658,派蒙,3.2557044,3.1936688
659,派蒙,4.1864963,4.5427628
660,派蒙,0.58287853,0.6323694
661,派蒙,7.832746,5.888101
662,迪卢克,2.6453955,6.4386773
663,迪卢克,-0.033146385,0.97550416
664,派蒙,4.8634133,5.83464
665,派蒙,7.1455626,3.527201
666,派蒙,4.659099,4.145386
667,派蒙,5.768702,5.9662027
668,派蒙,5.7323904,2.9362102
669,派蒙,2.4373465,-0.16036937
670,派蒙,3.1548893,-0.31597736
671,迪卢克,7.0153384,6.106267
672,派蒙,3.7101824,1.6696409
673,派蒙,3.19031,4.3424172
674,派蒙,0.7621664,6.87437
675,派蒙,5.53551,7.155315
676,派蒙,4.750761,2.4768612
677,派蒙,3.185477,4.0025625
678,派蒙,3.4850042,0.6855199
679,派蒙,0.83109677,5.8739395
680,派蒙,6.82057,9.662727
681,派蒙,0.84993166,5.883966
682,派蒙,0.9930041,3.5484486
683,派蒙,8.997256,8.14543
684,派蒙,1.0027456,4.9576592
685,派蒙,4.5985026,2.5640173
686,派蒙,8.859456,5.919508
687,派蒙,0.88011324,3.4344969
688,派蒙,6.835803,9.648094
689,安柏,8.671391,3.9774532
690,安柏,15.24183,5.692716
691,安柏,7.0121555,6.042886
692,安柏,9.138928,8.095501
693,旅行者,8.780214,4.7949224
694,安柏,4.5697026,3.8347774
695,旅行者,10.455914,6.7694745
696,安柏,5.4684005,2.1328743
697,安柏,7.360047,7.022186
698,安柏,10.226701,5.1695995
699,安柏,7.6485543,7.287076
700,安柏,8.190845,7.7535586
701,派蒙,5.304249,1.8835691
702,派蒙,3.8735924,5.027646
703,派蒙,3.0221267,4.734465
704,派蒙,4.70717,4.9398007
705,安柏,4.3131256,4.7021503
706,派蒙,2.3921707,6.330846
707,旅行者,3.9126632,4.247275
708,安柏,5.866787,5.954993
709,派蒙,3.9844582,3.688289
710,派蒙,3.6022904,1.0474741
711,「怪鸟」,3.6513975,2.1417956
712,安柏,5.02842,1.6380447
713,派蒙,0.9506607,1.3051785
714,派蒙,0.34236088,3.630443
715,派蒙,4.34223,1.5216001
716,派蒙,2.3822105,3.1822226
717,安柏,1.343359,4.2269697
718,安柏,4.3762937,3.9054239
719,安柏,4.8729463,8.012379
720,莎拉,2.205356,6.5037947
721,派蒙,1.9744413,7.363208
722,派蒙,2.4910693,1.5492076
723,派蒙,3.9830105,3.8982916
724,派蒙,1.107297,6.1388626
725,派蒙,6.6226454,7.844614
726,派蒙,4.8744855,4.699885
727,派蒙,8.007519,2.742299
728,派蒙,2.3187528,2.1284199
729,派蒙,3.7781818,2.2570393
730,派蒙,1.3120376,0.22240932
731,派蒙,1.379367,-0.0011187447
732,派蒙,3.355527,0.4320231
733,莎拉,6.889541,6.8784423
734,莎拉,15.125368,6.1730695
735,莎拉,5.0911794,1.7343957
736,莎拉,5.02227,1.8848273
737,莎拉,-0.19756898,5.772508
738,莎拉,0.44924802,-1.6420188
739,派蒙,4.6392555,4.6132293
740,莎拉,9.40077,7.6700497
741,莎拉,2.0293956,7.7921796
742,莎拉,8.283808,5.842488
743,派蒙,3.661366,5.8253627
744,莎拉,0.36507297,-0.8925682
745,莎拉,9.160858,6.7521667
746,派蒙,2.2295814,5.1949687
747,派蒙,5.7999372,3.303997
748,琴,1.5001005,7.2980676
749,琴,1.5347713,7.0163984
750,琴,6.8297954,8.146252
751,琴,6.7665024,4.111741
752,派蒙,6.137573,7.384429
753,派蒙,5.7890754,6.5342164
754,派蒙,5.7586274,7.5894403
755,旅行者,15.242008,5.7819843
756,芭芭拉,3.4990067,3.7542799
757,旅行者,5.1930833,8.24293
758,旅行者,8.7885065,5.6598554
759,派蒙,15.19193,5.9175825
760,派蒙,15.392461,5.379029
761,派蒙,15.172277,4.959866
762,派蒙,15.247446,5.4284163
763,派蒙,2.166886,9.742753
764,派蒙,15.360379,5.705504
765,派蒙,15.484954,5.217095
766,派蒙,15.421053,5.3779173
767,派蒙,14.939753,6.081876
768,派蒙,15.5465,5.0272098
769,琳琅,4.5351043,3.3617704
770,观海,15.208751,6.153039
771,博来,15.327211,4.9494495
772,派蒙,3.3779612,6.7594013
773,派蒙,2.5137956,6.3021817
774,派蒙,4.584885,4.0908318
